LEI,Entity Name,Short Name,Category,Entity Status,Organization Designation
549300XXGQ3ZBUATAA14,Odlum Brown Limited,ODLM,Dealer Member,Active,GSD
IIROCOOOOOOOOOOOOMGA,Omega Securities Inc.,OMGA,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOOMGW,OMG Wealth Management Inc.,OMGW,Dealer Member,Active,Non-GSD
549300VFT3CN1YF4S615,OTT Financial Canada Inc.,OTTF,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPACE,PACE Securities Corp.,PACE,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPRDM,Paradigm Capital Inc.,PRDM,Dealer Member,Active,Non-GSD
89RLTMP2WM4KXYJMWI06,Pavilion Global Markets Ltd.,PVLN,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPEAK,PEAK Securities Inc.,PEAK,Dealer Member,Active,Non-GSD
5493002DMKJE7H5VGZ78,Perimeter Markets Inc.,CBID,Dealer Member/ATS,Active,Non-GSD
549300TZNHWOYB544349,Perron & Partners Wealth Management Corp.,PERR,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPERY,Perry Securities Ltd.,PERY,Dealer Member,Active,Non-GSD
5493000WV47FDC28QG89,Pershing Securities Canada Limited,PRSH,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPTRS,Peters & Co. Limited,PTRS,Dealer Member,Active,Non-GSD
549300IVDRYC7JY3QC31,PI Financial Corp.,PIFC,Dealer Member,Active,Non-GSD
549300ZW5W660U16FP37,Pictet Canada L.P.,PICT,Dealer Member,Active,Non-GSD
54930047VT047QI4EM75,Polar Asset Management Partners Inc.,POLR,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPOLL,Pollitt & Co. Inc.,POLL,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOPOPE,Pope & Company Limited,POPE,Dealer Member,Inactive,Non-GSD
549300Z8EUUJQJFFTO04,President's Choice Bank,PRCB,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOPWLC,PWL Capital Inc.,PWLC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOQTRD,Qtrade Securities Inc.,QTRD,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOQUNS,Queensbury Securities Inc.,QUNS,Dealer Member,Active,Non-GSD
5493006DK8U1EWMPOA81,"Questrade, Inc.",QUES,Dealer Member,Active,Non-GSD
549300BVOTJ732IIV308,R.J. O'Brien & Associates Canada Inc.,RJOB,Dealer Member,Active,Non-GSD
549300Q3FSJ44RJLP108,Raymond James Ltd.,RAYJ,Dealer Member,Active,Non-GSD
549300U4H4BEJHJ27M83,RBC Direct Investing Inc.,RBCD,Dealer Member,Active,Non-GSD
549300QJJX6CVVUXLE15,RBC Dominion Securities Inc.,RBCS,Dealer Member,Active,GSD
213800JZRT4GBKN1SR53,RBS Capital Markets (Canada) Limited,RBSC,Dealer Member,Inactive,Non-GSD
IIROCOOOOOOOOOOORNCI,Renaissance Capital Inc.,RNCI,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOORTRF,Retire First Ltd.,RTRF,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOORGMP,Richardson GMP Limited,RGMP,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOROGB,Rogers Bank,ROGB,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOORGRS,Rogers Group Investment Advisors Ltd.,RGRS,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOORBRG,Rothenberg Capital Management Inc.,RBRG,Dealer Member,Active,Non-GSD
ES7IP3U3RHIGC71XBU11,Royal Bank of Canada,RBOC,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOSLMN,Salman Partners Inc.,SLMN,Dealer Member,Inactive,Non-GSD
IIROCOOOOOOOOOOOSAND,Sandstone Asset Management Inc.,SAND,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOSBER,Sanford C. Bernstein (Canada) Limited,SBER,Dealer Member,Active,Non-GSD
5493001XCEF2PSOAOK24,SBI Canada Bank,INDB,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOSCMS,SCM Securities LP,SCMS,Dealer Member,Inactive,Non-GSD
5493009NLZXZGJDOPC94,Scotia Capital Inc.,SCAP,Dealer Member,Active,GSD
549300UNAODCMZCL4563,Secutor Capital Management Corporation,SECU,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOCAPS,Sherbrooke Street Capital (SSC) Inc.,CAPS,Dealer Member,Active,Non-GSD
549300HXFQKKZG38VQ37,Shinhan Bank Canada,SHNB,Schedule II Bank,Active,Non-GSD
5493009OFT0EK4NI3K23,Shorcan Brokers Ltd.,SHOR,IDBB,Active,Non-GSD
549300862XUZQ4XPOS53,Société Générale (Canada),SOCG,Schedule II Bank,Active,Non-GSD
85M6SLXL8PVZZO6V3174,Société Générale Capital Canada Inc.,SGCC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOSOLI,Solium Financial Inc.,SOLI,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOSPRT,Sprott Private Wealth LP,SPRT,Dealer Member,Active,Non-GSD
BJ4CSKBQCK61XM6ZL688,State Street Global Markets Canada Inc.,STST,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOSASI,StephenAvenue Securities Inc.,SASI,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOSTUI,Stuart Investment Management Limited,STUI,Dealer Member,Active,Non-GSD
549300F6SV5QPUEKHB80,Sumitomo Mitsui Banking Corp. of Canada (Japan),SMBC,Schedule II Bank,Active,Non-GSD
549300OWIL82AHIVP639,Tangerine,TANG,Schedule I Bank,Active,Non-GSD
5493006RJSLS5DA4PD75,TD Securities Inc.,TDSI,Dealer Member,Active,Non-GSD
549300EM9IELBMKYHT27,TD Waterhouse Canada Inc.,TDWC,Dealer Member,Active,Non-GSD
L3I9ZG2KFGXZ61BMYR72,The Bank of Nova Scotia,BNSB,Schedule I Bank,Active,Non-GSD
PT3QB789TSUIDF371261,The Toronto Dominion Bank,TTDB,Schedule I Bank,Active,GSD
IIROCOOOOOOOOOOOTMBR,Timber Hill Canada Company,TMBR,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOTRPZ,Trapeze Capital Corp.,TRPZ,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOTCML,TriAct Canada Marketplace LP,TCML,Dealer Member,Active,Non-GSD
549300LXVFYIVZLFL678,Tullett Prebon Canada Ltd.,TPCL,IDBB,Active,Non-GSD
IIROCOOOOOOOOOOOTUSC,Tuscarora Capital Inc.,TUSC,Dealer Member,Active,Non-GSD
549300A0NSXDTEQJAR30,UBS Bank (Canada),UBSB,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOUBSS,UBS Securities Canada Inc.,UBSS,Dealer Member,Active,Non-GSD
5493001JLHK7WY7QPD28,Valeurs Mobilières Banque Laurentienne Inc.,VMBL,Dealer Member,Active,GSD
549300K2507QF5P5DT31,Velocity Trade Capital Ltd.,VLCT,Dealer Member,Active,Non-GSD
549300RUBSDFVNCR7415,VersaBank,VRSA,Schedule I Bank,Active,Non-GSD
IIROCOOOOOOOOOOOWDLC,W.D. Latimer Co. Limited,WDLC,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOWALB,Walmart Canada Bank,WALB,Schedule II Bank,Active,Non-GSD
IIROCOOOOOOOOOOOWATT,Watt Carmichael Inc.,WATT,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOWFGO,"Wells Fargo Securities Canada, Ltd.",WFGO,Dealer Member,Active,Non-GSD
5493006M6XIIT33FFZ26,Wolverton Securities Ltd.,WOLV,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOWLDS,Worldsource Securities Inc.,WLDS,Dealer Member,Active,Non-GSD
IIROCOOOOOOOOOOOYCFO,yourCFO Advisory Group Inc.,YCFO,Dealer Member,Active,Non-GSD
549300GRF3S0VG3S4418,Zag Bank,ZAGB,Schedule I Bank,Active,Non-GSD
